name,rating,reviews,comp_type,head_quarter,how_old,no_employee
Kellogg,4.4,(399 Reviews),Private,"Battle Creek,Michigan + 59 more",117 years old,501-1k Employees (India)
SourceHOV,3.6,(398 Reviews),Chennai + 8 more,1k-5k Employees (India),,
Patel Infrastruc...,4.0,(397 Reviews),Private,"Vadodara/Baroda,Gujarat + 36 more",51 years old,201-500 Employees (India)
nThrive Global S...,4.0,(397 Reviews),Private,Alpharetta + 7 more,20 years old,501-1k Employees (India)
Offshore Infrast...,4.2,(397 Reviews),Private,"Mumbai,Maharashtra + 34 more",28 years old,501-1k Employees (India)
Central Public W...,4.2,(397 Reviews),Private,"Delhi/NCR,New Delhi + 93 more",169 years old,10k-50k Employees (India)
Housing.com,4.2,(396 Reviews),Private,"Gurgaon,Haryana + 27 more",11 years old,1k-5k Employees (India)
Fiat India Autom...,3.7,(396 Reviews),Private,"Mumbai,Maharashtra + 14 more",26 years old,1k-5k Employees (India)
Orient Technolog...,3.7,(396 Reviews),Private,"Chiyoda-ku,Tokyo-to + 36 more",31 years old,1k-5k Employees (India)
Kidzee,4.2,(396 Reviews),Private,"Ernakulam,Kerala + 96 more",20 years old,1k-5k Employees (India)
NBTC GROUP,3.8,(396 Reviews),Private,Al Ahmadi + 23 more,46 years old,501-1k Employees (India)
PPG Asian Paints,4.0,(395 Reviews),Private,"Mumbai,Maharashtra + 47 more",26 years old,501-1k Employees (India)
HLL Lifecare,3.7,(395 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 87 more",57 years old,1k-5k Employees (India)
Shyam Steel Indu...,3.6,(395 Reviews),Private,"Kolkata,West Bengal + 38 more",70 years old,1k-5k Employees (India)
Coal India,4.0,(395 Reviews),Public,"Kolkata,West Bengal + 43 more",48 years old,1 Lakh+ Employees (India)
CTS Consulting &...,3.8,(395 Reviews),Private,Eysines + 25 more,15 years old,201-500 Employees (India)
Tracxn,3.3,(394 Reviews),Private,"Bangalore,Karnataka + 5 more",10 years old,501-1k Employees (India)
Medtronic,3.9,(394 Reviews),Private,"Mumbai,Maharashtra + 32 more",44 years old,501-1k Employees (India)
Okaya Power,3.8,(394 Reviews),Private,"Delhi/NCR,Delhi + 65 more",36 years old,1k-5k Employees (India)
Adarsh Credit Co...,4.0,(394 Reviews),Private,"Ahmedabad,Gujrat + 135 more",24 years old,1k-5k Employees (India)
Yokogawa,3.6,(394 Reviews),Private,"Tokyo,Tokyo-to + 19 more",108 years old,1k-5k Employees (India)
Comviva Technolo...,3.5,(394 Reviews),Private,"Gurgaon,Haryana + 13 more",24 years old,1k-5k Employees (India)
Guidehouse,3.9,(394 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 7 more",20 years old,1k-5k Employees (India)
Bunge India,4.1,(393 Reviews),Private,"Chesterfield,Missouri + 41 more",23 years old,1k-5k Employees (India)
le méridien,4.1,(393 Reviews),Private,Paris + 22 more,51 years old,5k-10k Employees (India)
Army Public Scho...,4.3,(392 Reviews),Private,"Delhi/NCR,New Delhi + 71 more",49 years old,5k-10k Employees (Global)
Cairn Energy,4.1,(392 Reviews),Private,"Edinburgh,Edinburgh + 20 more",42 years old,1k-5k Employees (India)
Updater Services,3.8,(392 Reviews),Private,"Chennai,Tamil Nadu + 49 more",38 years old,50k-1 Lakh Employees (India)
Ramky Enviro Eng...,4.0,(392 Reviews),Private,Hyderabad + 54 more,29 years old,10k-50k Employees (India)
Zydus Healthcare,4.1,(392 Reviews),Mumbai + 50 more,,,
Ind-Swift Labora...,3.8,(391 Reviews),Public,"Chandigarh,Chandigarh + 23 more",28 years old,1k-5k Employees (India)
Saudi Binladin G...,4.4,(391 Reviews),Private,"Jeddah,Riyadh + 22 more",92 years old,201-500 Employees (India)
The Times of Ind...,4.0,(390 Reviews),Private,New Delhi + 45 more,185 years old,5k-10k Employees (India)
UnitedLex,3.3,(390 Reviews),Private,"New York,New York + 2 more",17 years old,501-1k Employees (India)
Oriental Structu...,4.2,(390 Reviews),Private,"Delhi/NCR,Delhi + 43 more",37 years old,1k-5k Employees (India)
Wockhardt Hospit...,4.1,(390 Reviews),Private,"Mumbai,Maharashtra + 16 more",50 years old,1k-5k Employees (India)
Action Construct...,3.9,(390 Reviews),Public,"Delhi/NCR,New Delhi + 32 more",28 years old,1k-5k Employees (India)
Schoolnet India,3.9,(390 Reviews),Public,"Noida,Uttar Pradesh + 84 more",26 years old,51-200 Employees (India)
Greenlam Industr...,4.2,(389 Reviews),Public,"Delhi/NCR,Delhi + 52 more",10 years old,1k-5k Employees (India)
JK Tech,3.7,(389 Reviews),Public,"Noida,Uttar Pradesh + 14 more",29 years old,501-1k Employees (India)
TCI Express,3.9,(389 Reviews),Public,Gurugram + 62 more,27 years old,1k-5k Employees (India)
Almarai,4.3,(389 Reviews),Private,"Riyadh,Central Province + 26 more",46 years old,1k-5k Employees (India)
Spoton Logistics,4.5,(389 Reviews),Private,"Bangalore,Karnataka + 69 more",11 years old,1k-5k Employees (India)
Genus Power Infr...,4.0,(388 Reviews),Public,"Jaipur,Rajasthan + 34 more",31 years old,1k-5k Employees (India)
HBL Global,4.1,(388 Reviews),Private,"Mumbai,Maharashtra + 77 more",23 years old,11-50 Employees (India)
Essel Propack,3.9,(387 Reviews),Public,"Mumbai,Maharashtra + 25 more",39 years old,1k-5k Employees (India)
Essel Propack,3.9,(387 Reviews),Public,"Mumbai,Maharashtra + 25 more",39 years old,1k-5k Employees (India)
Asb Internationa...,4.1,(387 Reviews),Private,"Thane,Maharashtra + 9 more",26 years old,1k-5k Employees (India)
Eicher Motors,4.3,(387 Reviews),Public,Gurgaon + 73 more,41 years old,10k-50k Employees (India)
Varun Motors,4.1,(386 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 28 more",30 years old,5k-10k Employees (India)
Vestige,4.3,(386 Reviews),Private,"Delhi/NCR,Delhi + 90 more",19 years old,501-1k Employees (India)
Cargill Business...,4.0,(386 Reviews),"Wayzata,Minnesota + 5 more",8 years old,1k-5k Employees (India),
Jai Balaji Group,3.7,(386 Reviews),Public,"Kolkata,West Bengal + 20 more",24 years old,10k-50k Employees (India)
BharatMatrimony....,3.8,(385 Reviews),Private,"Chennai,Tamil Nadu + 28 more",26 years old,1k-5k Employees (Global)
Bharat Serums an...,3.9,(385 Reviews),Private,"Mumbai,Maharashtra + 38 more",52 years old,1k-5k Employees (India)
Adidas,4.1,(384 Reviews),Public,"Herzogenaurach,Bavaria + 46 more",74 years old,1k-5k Employees (India)
Doosan Power Sys...,4.0,(384 Reviews),Private,Crawley + 23 more,13 years old,501-1k Employees (India)
GlobalData,3.8,(384 Reviews),Private,London + 6 more,39 years old,1k-5k Employees (India)
Patel Engineerin...,4.0,(383 Reviews),Public,"Mumbai,Maharashtra + 43 more",74 years old,1k-5k Employees (India)
EaseMyTrip.com,4.3,(383 Reviews),Public,"Delhi,NCT + 6 more",15 years old,201-500 Employees (India)
OpenText Technol...,3.9,(383 Reviews),Private,"Waterloo,Ontario + 5 more",32 years old,1k-5k Employees (India)
Lohia Group,3.8,(383 Reviews),Public,"Kanpur,Uttar Pradesh + 15 more",47 years old,1k-5k Employees (India)
Blackberrys,4.1,(382 Reviews),Private,"Gurgaon/Gurugram,Haryana + 67 more",32 years old,10k-50k Employees (India)
Transport Corpor...,3.8,(382 Reviews),Public,Gurgaon + 65 more,65 years old,5k-10k Employees (India)
Keventer,3.9,(382 Reviews),Private,Kolkata + 42 more,37 years old,501-1k Employees (India)
Nomura Holdings,4.0,(382 Reviews),Public,"Mumbai,Maharashtra + 6 more",14 years old,1k-5k Employees (India)
Ziqitza Health C...,4.1,(381 Reviews),Public,"Mumbai,Maharashtra + 41 more",18 years old,5k-10k Employees (India)
Amtek Auto,3.8,(381 Reviews),Public,"Delhi/NCR,New Delhi + 29 more",38 years old,1k-5k Employees (India)
Stock Holding Co...,3.7,(381 Reviews),Public,"Mumbai,Maharashtra + 87 more",37 years old,201-500 Employees (India)
Livpure,4.0,(381 Reviews),Private,"Gurgaon,Haryana + 66 more",13 years old,1k-5k Employees (India)
CompuCom,4.1,(380 Reviews),Private,"Fort Mill,South Carolina + 5 more",36 years old,1k-5k Employees (India)
Moser Baer,3.9,(380 Reviews),Public,"Delhi/NCR,Delhi + 11 more",40 years old,1k-5k Employees (India)
Cpf India,4.1,(380 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 45 more",29 years old,501-1k Employees (India)
Sintex-bapl,3.7,(380 Reviews),Public,Pune + 42 more,16 years old,501-1k Employees (India)
TO THE NEW,4.1,(380 Reviews),Private,"Singapore,Malaysia + 8 more",15 years old,1k-5k Employees (India)
Centaur Pharmace...,3.7,(379 Reviews),Private,"Mumbai,Maharashtra + 39 more",45 years old,1k-5k Employees (India)
Macawber Beekay,4.2,(379 Reviews),Private,"Noida,Uttar Pradesh + 28 more",37 years old,1k-5k Employees (India)
Grab A Grub Serv...,3.9,(379 Reviews),Private,Mumbai + 81 more,10 years old,51-200 Employees (India)
Siemens Energy,4.2,(379 Reviews),Private,Munich + 27 more,176 years old,1k-5k Employees (India)
Nelito System,3.5,(378 Reviews),Private,Navi Mumbai + 31 more,28 years old,1k-5k Employees (India)
NecLife,3.7,(377 Reviews),Public,"Chandigarh,Chandigarh + 13 more",28 years old,1k-5k Employees (India)
Larsen & Toubro ...,4.1,(377 Reviews),Chennai + 68 more,1 Lakh+ Employees (India),,
Nvidia,4.2,(377 Reviews),Private,"Santa Clara,California + 6 more",30 years old,1k-5k Employees (India)
RuralShores,4.1,(377 Reviews),Private,"Bangalore,Karnataka + 37 more",15 years old,1k-5k Employees (India)
Rane NSK Steerin...,4.0,(377 Reviews),Bawal + 14 more,201-500 Employees (India),,
Paras Dairy,3.7,(377 Reviews),Public,"Delhi/NCR,Delhi + 43 more",36 years old,501-1k Employees (India)
PrimEra Medical ...,3.6,(377 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",8 years old,1k-5k Employees (India)
Riya Travel,3.8,(377 Reviews),Private,"Mumbai,Maharashtra + 31 more",43 years old,1k-5k Employees (India)
Ramboll,4.2,(376 Reviews),Private,"Copenhagen,Denmark + 24 more",17 years old,1k-5k Employees (India)
HRH Next Service...,3.3,(376 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 7 more",16 years old,51-200 Employees (India)
CARE,4.4,(376 Reviews),Private,Noida + 93 more,73 years old,51-200 Employees (India)
Zee Entertainmen...,3.8,(376 Reviews),Public,Mumbai + 26 more,31 years old,1k-5k Employees (India)
Khazana Jeweller...,3.9,(376 Reviews),Private,"Chennai,Tamil Nadu + 45 more",34 years old,501-1k Employees (India)
Fiem Industries,3.9,(375 Reviews),Public,New Delhi + 16 more,34 years old,501-1k Employees (India)
Nephroplus,4.0,(375 Reviews),Private,Hyderabad + 75 more,14 years old,501-1k Employees (India)
Nucleus Software...,3.8,(375 Reviews),Public,"Noida,Uttar Pradesh + 8 more",37 years old,1k-5k Employees (India)
Vasudha Pharma C...,4.0,(375 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 5 more",28 years old,1k-5k Employees (India)
Sayaji Hotels,4.4,(375 Reviews),Public,"Indore,Madhya Pradesh + 23 more",36 years old,1k-5k Employees (India)
Emami Agrotech,3.9,(375 Reviews),Public,"Kolkata,West Bengal + 39 more",21 years old,1k-5k Employees (India)
Victora Group,3.9,(374 Reviews),Private,"Faridabad,Haryana + 18 more",32 years old,201-500 Employees (India)
Ess Kay Fincorp,4.0,(374 Reviews),Public,Jaipur + 104 more,29 years old,5k-10k Employees (India)
Salcomp Manufact...,4.1,(374 Reviews),Private,Salo + 9 more,17 years old,1k-5k Employees (India)
B.L. Kashyap & S...,3.8,(374 Reviews),Private,"Delhi/NCR,New Delhi + 21 more",45 years old,1k-5k Employees (India)
Utility Powertec...,3.9,(374 Reviews),Private,"Noida,Uttar Pradesh + 64 more",28 years old,201-500 Employees (India)
Luxoft,4.2,(374 Reviews),LLP,Zug + 11 more,23 years old,1k-5k Employees (India)
BSCPL Infrastruc...,3.9,(373 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",51 years old,1k-5k Employees (India)
Colt Technology ...,4.3,(373 Reviews),Private,"London,England + 5 more",31 years old,1k-5k Employees (India)
Fedbank Financia...,4.2,(373 Reviews),Private,"Mumbai,Maharashtra + 96 more",13 years old,1k-5k Employees (India)
Ferrero,3.9,(373 Reviews),Private,"Pune,Maharashtra + 55 more",19 years old,501-1k Employees (India)
Al Turki Enterpr...,3.7,(372 Reviews),Private,Muscat + 7 more,18 years old,501-1k Employees (India)
Amar Ujala,3.9,(372 Reviews),Private,"Noida,Uttar Pradesh + 43 more",75 years old,1k-5k Employees (India)
Bridgestone,4.2,(372 Reviews),Private,Tokyo + 43 more,27 years old,1k-5k Employees (India)
Karvy DigiKonnec...,3.1,(372 Reviews),Hyderabad + 17 more,8 years old,10k-50k Employees (India),
ShareChat,3.8,(372 Reviews),Private,"Bangalore,Karnataka + 24 more",8 years old,1k-5k Employees (India)
Fidelity Interna...,4.3,(372 Reviews),Private,London + 6 more,54 years old,1k-5k Employees (India)
LIC Housing Fina...,3.9,(372 Reviews),Public,"Mumbai,Maharashtra + 93 more",34 years old,1k-5k Employees (India)
Vikram Solar,3.8,(371 Reviews),Private,"Kolkata,West Bengal + 25 more",17 years old,1k-5k Employees (India)
L & W Constructi...,3.7,(371 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",17 years old,501-1k Employees (India)
Gandhi Automatio...,4.2,(370 Reviews),Private,"Mumbai,Maharashtra + 16 more",27 years old,501-1k Employees (India)
Vijai Electrical...,3.5,(369 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",50 years old,5k-10k Employees (India)
BDO India LLP,3.7,(369 Reviews),LLP,New Delhi + 20 more,50 years old,1k-5k Employees (India)
Infra.Market,4.0,(369 Reviews),Private,"Thane,Maharashtra + 47 more",7 years old,1k-5k Employees (India)
Sona Comstar,4.3,(369 Reviews),Public,Gurgaon + 7 more,28 years old,1k-5k Employees (India)
Wipro Digital,3.7,(368 Reviews),Private,"Brooklyn,New York + 19 more",8 years old,1k-5k Employees (India)
Bahwan Engineeri...,4.0,(368 Reviews),Private,Ruwi + 16 more,46 years old,201-500 Employees (India)
Clarivate,3.8,(368 Reviews),Public,"Philadelphia,Pennsylvania + 8 more",7 years old,1k-5k Employees (India)
H & R Johnson,4.0,(368 Reviews),Private,Staffordshire + 66 more,27 years old,1k-5k Employees (India)
Infor Global Sol...,4.0,(368 Reviews),Private,New York + 6 more,21 years old,1k-5k Employees (India)
MOURI Tech,3.9,(367 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",18 years old,1k-5k Employees (India)
Suma Soft,3.8,(367 Reviews),Private,Pune + 5 more,23 years old,501-1k Employees (India)
Nagarjuna Fertil...,4.1,(367 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 59 more",38 years old,1k-5k Employees (India)
Rockwell Automat...,4.0,(367 Reviews),Private,"Milwaukee,Wisconsin + 15 more",120 years old,1k-5k Employees (India)
Veritas,4.2,(367 Reviews),Public,"Santa Clara,California + 18 more",34 years old,1k-5k Employees (India)
Novotel Hotels,4.2,(367 Reviews),Private,Issy Les Moulineaux + 25 more,56 years old,1k-5k Employees (India)
Finastra,3.9,(367 Reviews),Private,"Paddington,London + 11 more",6 years old,1k-5k Employees (India)
Maini Precision ...,3.6,(366 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",50 years old,1k-5k Employees (India)
Vastu Housing Fi...,4.4,(366 Reviews),Private,"Mumbai,Maharashtra + 90 more",8 years old,1k-5k Employees (India)
Allied Digital S...,3.5,(366 Reviews),Public,"Mumbai,Maharashtra + 30 more",28 years old,1k-5k Employees (India)
Scientific Publi...,3.8,(366 Reviews),Private,Chennai + 2 more,28 years old,1k-5k Employees (India)
Poly Medicure,3.7,(366 Reviews),Public,"Delhi/NCR,Delhi + 25 more",26 years old,5k-10k Employees (India)
Godrej Industrie...,4.1,(366 Reviews),Public,"Mumbai,Maharashtra + 45 more",60 years old,10k-50k Employees (India)
eMids Technologi...,3.8,(365 Reviews),Private,"Franklin,Tennessee + 2 more",24 years old,1k-5k Employees (India)
Canon,4.3,(365 Reviews),Private,"Ota City,Tokyo + 55 more",86 years old,1k-5k Employees (India)
Pamac Finserve,3.6,(365 Reviews),Private,"Mumbai,Maharashtra + 49 more",28 years old,501-1k Employees (India)
Maharashtra Stat...,4.3,(364 Reviews),Private,"Mumbai,Maharashtra + 66 more",18 years old,50k-1 Lakh Employees (India)
Cox & Kings,3.7,(364 Reviews),Private,"Mumbai,Maharashtra + 47 more",265 years old,1k-5k Employees (India)
Agrostar,4.0,(364 Reviews),"Pune,Maharashtra + 24 more",10 years old,1k-5k Employees (India),
Hetero Healthcar...,3.6,(364 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 49 more",17 years old,1k-5k Employees (India)
The Akshaya Patr...,4.2,(364 Reviews),NGO/NPO,"Bangalore/Bengaluru,Karnataka + 53 more",23 years old,201-500 Employees (India)
J K Fenner,3.7,(363 Reviews),Private,"Chennai,Tamil Nadu + 31 more",36 years old,201-500 Employees (India)
Celebi Aviation ...,4.0,(363 Reviews),Mumbai + 10 more,,,
Westin,3.7,(362 Reviews),Private,"Kolkata,West Bengal + 27 more",93 years old,5k-10k Employees (India)
Bharat Gears,4.0,(362 Reviews),Public,"Mumbai,Maharashtra + 14 more",51 years old,1k-5k Employees (India)
PTC,4.2,(362 Reviews),Public,"Boston,Massachusetts + 32 more",38 years old,1k-5k Employees (India)
FCC Clutch,4.2,(361 Reviews),Hamamatsu + 16 more,84 years old,201-500 Employees (India),
Vijay Sales,4.2,(360 Reviews),Private,"Mumbai,Maharashtra + 29 more",56 years old,1k-5k Employees (India)
CIEL HR,4.1,(360 Reviews),Private,"Bangalore,Karnataka + 57 more",8 years old,501-1k Employees (India)
IRB Infrastructu...,4.2,(360 Reviews),Public,"Mumbai,Maharashtra + 44 more",25 years old,5k-10k Employees (India)
Ness Technologie...,3.7,(360 Reviews),Private,"Teaneck,New Jersey + 8 more",24 years old,1k-5k Employees (India)
Talentpro,4.1,(360 Reviews),Private,"Chennai,Tamil Nadu + 78 more",23 years old,501-1k Employees (India)
VRL Logistics,3.9,(360 Reviews),Public,"Hubballi,Karnataka + 73 more",40 years old,10k-50k Employees (India)
Becton Dickinson,4.2,(360 Reviews),"Franklin Lakes,New Jersey + 27 more",22 years old,1k-5k Employees (India),
NJ India Invest,3.8,(360 Reviews),Private,Surat + 66 more,29 years old,1k-5k Employees (India)
Kajaria Ceramics,4.1,(359 Reviews),Public,"Delhi/NCR,New Delhi + 57 more",38 years old,1k-5k Employees (India)
Pennar Industrie...,3.7,(358 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 19 more",35 years old,1k-5k Employees (India)
Xerox,4.0,(358 Reviews),Bengaluru/Bangalore + 25 more,,,
Tafe Motors & Tr...,3.9,(358 Reviews),Bhopal + 28 more,1k-5k Employees (India),,
Acadecraft,3.2,(358 Reviews),Private,"Noida,Uttar Pradesh + 10 more",12 years old,201-500 Employees (India)
Baker Hughes,4.2,(358 Reviews),Private,"Boston,Massachusetts + 33 more",7 years old,1k-5k Employees (India)
Rackspace,3.9,(357 Reviews),Private,"San Antonio,Texas + 7 more",25 years old,1k-5k Employees (India)
Kirloskar Pneuma...,4.1,(357 Reviews),Public,"Pune,Maharashtra + 10 more",65 years old,1k-5k Employees (India)
LG Soft India,3.6,(357 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",27 years old,1k-5k Employees (India)
Cuemath,4.0,(357 Reviews),Private,"Bangalore,Karnataka + 16 more",10 years old,1k-5k Employees (India)
Fino Paytech,4.1,(357 Reviews),"Mumbai,Maharashtra + 85 more",17 years old,51-200 Employees (India),
Quislex Legal Se...,4.1,(357 Reviews),Private,"New York,New York + 3 more",19 years old,501-1k Employees (India)
Craftsman Automa...,3.9,(356 Reviews),Private,"Coimbatore,Tamil Nadu + 15 more",37 years old,1k-5k Employees (India)
Apple,4.4,(356 Reviews),Private,"Cupertino,California + 71 more",47 years old,10k-50k Employees (India)
Airports Authori...,4.4,(356 Reviews),Private,"Delhi/NCR,New Delhi + 73 more",28 years old,10k-50k Employees (India)
Henry Harvin Edu...,4.4,(356 Reviews),"Noida,Uttar Pradesh + 11 more",8 years old,51-200 Employees (India),
Lenovo,4.0,(356 Reviews),Private,Quarry Bay + 64 more,18 years old,1k-5k Employees (India)
Usha Martin,4.0,(356 Reviews),Public,"Kolkata,West Bengal + 25 more",62 years old,1k-5k Employees (India)
Jayaswal Neco In...,4.1,(356 Reviews),Public,"Nagpur,Maharashtra + 19 more",51 years old,1k-5k Employees (India)
Pyramid IT Consu...,3.5,(356 Reviews),Private,"Atlanta,Georgia + 18 more",27 years old,51-200 Employees (India)
Manjushree Techn...,3.8,(355 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",40 years old,1k-5k Employees (India)
Practo,3.3,(355 Reviews),Private,"Bangalore,Karnataka + 19 more",15 years old,1k-5k Employees (India)
MAHLE Behr India,4.2,(355 Reviews),JV,Pune + 6 more,26 years old,1k-5k Employees (India)
Nihilent,3.7,(355 Reviews),Private,"Pune,Maharashtra + 3 more",23 years old,1k-5k Employees (India)
Psp Projects,3.9,(355 Reviews),Private,"Ahmedabad,Gujarat + 25 more",15 years old,1k-5k Employees (India)
EdgeVerve System...,3.7,(355 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",9 years old,1k-5k Employees (India)
Leighton Contrac...,4.4,(355 Reviews),Private,"Mumbai,Maharashtra + 16 more",25 years old,501-1k Employees (India)
Sanghi Industrie...,3.6,(354 Reviews),Public,"Ahmedabad,Gujarat + 19 more",38 years old,201-500 Employees (India)
Reliance Infrast...,3.9,(354 Reviews),Public,"Mumbai,Maharashtra + 44 more",94 years old,5k-10k Employees (India)
Prama Hikvision ...,3.5,(354 Reviews),Private,Hangzhou + 38 more,14 years old,201-500 Employees (India)
Bristlecone,3.8,(354 Reviews),Private,"Pune,Maharashtra + 8 more",25 years old,1k-5k Employees (India)
TCS eServe,3.8,(353 Reviews),Private,Mumbai + 30 more,16 years old,10k-50k Employees (India)
Glaze Trading In...,4.1,(353 Reviews),Private,"Delhi/NCR,Delhi + 73 more",20 years old,5k-10k Employees (India)
Maxgen Technolog...,4.6,(353 Reviews),Private,"Mumbai,Maharashtra + 5 more",10 years old,201-500 Employees (India)
Hitachi Vantara,4.0,(353 Reviews),Private,Santa Clara + 8 more,5 years old,1k-5k Employees (India)
Bajaj Capital In...,3.8,(353 Reviews),New Delhi + 94 more,19 years old,1k-5k Employees (India),
Country Holidays...,4.5,(353 Reviews),Private,"New Delhi,Delhi + 11 more",1 years old,201-500 Employees (India)
Praj Industries,4.1,(352 Reviews),Public,"Pune,Maharashtra + 12 more",40 years old,501-1k Employees (India)
Marlabs,3.7,(352 Reviews),Private,"Piscataway,New Jersey + 9 more",27 years old,1k-5k Employees (India)
Suraksha Diagnos...,3.8,(352 Reviews),Private,Kolkata + 22 more,31 years old,1k-5k Employees (India)
Tecnimont,3.7,(351 Reviews),Private,"Mumbai,Maharashtra + 20 more",18 years old,1k-5k Employees (India)
Kissht Finance,3.9,(351 Reviews),Private,"Mumbai,Maharashtra + 53 more",8 years old,51-200 Employees (India)
JM Financial,3.9,(351 Reviews),Public,"Mumbai,Maharashtra + 58 more",39 years old,1k-5k Employees (India)
McKinsey & Compa...,4.1,(351 Reviews),Private,Chennai + 13 more,97 years old,1k-5k Employees (India)
DealShare,3.3,(351 Reviews),Private,"Jaipur,Rajasthan + 38 more",5 years old,1k-5k Employees (India)
Herbalife Intern...,4.2,(351 Reviews),Private,Los Angeles + 71 more,43 years old,1k-5k Employees (India)
Kantar IMRB,3.7,(350 Reviews),Private,"Mumbai,Maharashtra + 25 more",53 years old,1k-5k Employees (India)
Forever Living P...,4.4,(350 Reviews),Private,"Scottsdale,Arizona + 43 more",45 years old,11-50 Employees (India)
Licious,3.9,(349 Reviews),Private,"Bangalore,Karnataka + 28 more",8 years old,1k-5k Employees (India)
SMC Global Secur...,3.6,(349 Reviews),Public,SMC Global Securities Ltd. + 52 more,29 years old,1k-5k Employees (India)
Vaaman Engineers,3.9,(349 Reviews),Private,Mumbai + 24 more,33 years old,1k-5k Employees (India)
Dodla Dairy,4.2,(349 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 48 more",28 years old,1k-5k Employees (India)
Pace Setters Bus...,3.2,(349 Reviews),Mumbai + 15 more,17 years old,201-500 Employees (India),
Vedang Cellular ...,4.2,(349 Reviews),Mumbai + 48 more,13 years old,501-1k Employees (India),
Toyota Industrie...,4.2,(349 Reviews),Private,"Kariya,Aichi + 3 more",28 years old,501-1k Employees (India)
PepsiCo (India) ...,4.2,(349 Reviews),Gurgaon/Gurugram + 81 more,,,
Castrol,4.2,(348 Reviews),Public,"Pangbourne,Berkshire + 75 more",124 years old,501-1k Employees (India)
Xavient Digital ...,3.9,(347 Reviews),Private,"Simi Valley,California + 4 more",21 years old,501-1k Employees (India)
Lite Bite Foods,4.5,(347 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",22 years old,1k-5k Employees (India)
Varthana,4.3,(347 Reviews),Private,"Bangalore,Karnataka + 53 more",10 years old,501-1k Employees (India)
Coats,3.9,(347 Reviews),Private,Middlesex + 40 more,49 years old,1k-5k Employees (India)
Pearson Educatio...,4.2,(347 Reviews),Private,"Noida,Uttar Pradesh + 51 more",23 years old,201-500 Employees (India)
Roop Polymers,4.0,(346 Reviews),Public,"Gurgaon/Gurugram,Haryana + 14 more",50 years old,1k-5k Employees (India)
Blue Yonder,4.2,(346 Reviews),Private,"Scottsdale,Arizona + 8 more",38 years old,1k-5k Employees (India)
VirtusaPolaris,3.7,(345 Reviews),Private,"Colombo,Colombo + 7 more",27 years old,1k-5k Employees (India)
Prince Pipes & F...,4.1,(345 Reviews),Public,"Mumbai,Maharashtra + 38 more",36 years old,1k-5k Employees (India)
Testbook.com,3.6,(345 Reviews),Private,"Mumbai,Maharashtra + 16 more",9 years old,501-1k Employees (India)
RR kabel,4.1,(345 Reviews),Public,"Mumbai,Maharashtra + 63 more",28 years old,501-1k Employees (India)
Wipro PARI,3.5,(345 Reviews),Satara + 12 more,1k-5k Employees (India),,
Amber Enterprise...,4.0,(345 Reviews),Public,"Mumbai,Maharashtra + 21 more",33 years old,1k-5k Employees (India)
Sudarshan Chemic...,3.7,(344 Reviews),Public,"Pune,Maharashtra + 16 more",72 years old,501-1k Employees (India)
DHL Global Forwa...,4.1,(344 Reviews),Private,Bonn + 19 more,208 years old,1k-5k Employees (India)
Delta Electronic...,3.9,(344 Reviews),Private,"Gurgaon/Gurugram,Haryana + 30 more",31 years old,501-1k Employees (India)
Jiva Ayurvedic P...,3.8,(344 Reviews),Private,"Faridabad,Haryana + 38 more",31 years old,1k-5k Employees (India)
Autoliv,4.0,(343 Reviews),Private,"Klarabergsviadukten 70,Stockholm + 10 more",70 years old,1k-5k Employees (India)
Heidelberg Cemen...,4.1,(343 Reviews),Private,"Gurgaon/Gurugram,Haryana + 49 more",17 years old,1k-5k Employees (India)
Maersk Line,4.4,(343 Reviews),Public,"Copenhagen,Copenhagen + 21 more",119 years old,201-500 Employees (India)
Indecomm Global ...,3.5,(343 Reviews),Private,"Edison,New Jersey + 11 more",20 years old,1k-5k Employees (India)
Dr. Reddy's Foun...,4.1,(342 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 68 more",27 years old,501-1k Employees (India)
Mitsubishi Elect...,4.2,(342 Reviews),Private,"Chiyoda City,Tokyo + 33 more",102 years old,501-1k Employees (India)
