Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender,Class
3,4,4,8,4537,F,Ship,medium,F,0
2,4,5,3,1645,C,Ship,low,F,0
3,3,3,2,4742,D,Ship,medium,F,1
3,2,3,37,1990,C,Ship,medium,F,1
4,4,4,7,4041,A,Ship,medium,M,1
5,1,4,4,5113,F,Flight,medium,M,1
4,5,3,9,5279,C,Ship,medium,F,1
4,4,6,7,4852,F,Flight,low,F,0
3,5,2,33,1444,C,Road,low,M,1
3,1,3,6,3496,B,Ship,medium,M,1
2,4,4,2,1150,B,Ship,low,F,0
3,5,2,40,1460,C,Ship,low,F,1
7,5,4,2,1080,C,Ship,low,F,1
2,4,2,4,4632,F,Ship,medium,M,0
2,4,3,37,2555,A,Road,low,M,1
4,4,4,4,4053,C,Ship,medium,M,0
3,4,6,3,5471,F,Ship,medium,F,0
4,4,3,2,4124,F,Ship,medium,F,1
3,4,3,22,3818,F,Ship,low,M,1
3,5,3,60,1122,D,Ship,medium,M,1
4,5,3,5,4515,A,Ship,medium,F,0
5,1,6,2,1681,F,Flight,medium,F,1
3,1,3,10,5633,F,Ship,low,F,0
4,3,4,9,5672,D,Ship,low,M,0
6,2,4,9,1258,F,Ship,low,M,1
3,5,2,14,1638,F,Flight,low,M,1
2,1,2,3,4331,F,Ship,high,F,0
4,5,8,9,4843,B,Ship,medium,F,1
5,5,5,3,1120,F,Road,medium,F,0
3,5,4,23,1347,F,Ship,medium,M,1
3,2,3,9,5224,A,Road,medium,M,1
4,2,2,8,4222,C,Flight,low,F,0
5,5,3,6,4088,F,Ship,low,F,1
3,1,3,4,5291,B,Ship,medium,F,0
4,3,6,8,5588,C,Ship,low,M,0
6,2,4,4,1768,F,Flight,low,M,0
4,3,2,6,5473,B,Ship,low,F,1
2,2,2,46,3707,F,Flight,low,M,1
3,2,3,6,4056,A,Ship,medium,M,0
4,5,5,6,4450,B,Ship,low,F,0
3,4,2,2,5661,A,Ship,medium,F,0
5,5,5,3,5254,D,Ship,low,M,1
5,5,2,18,1134,B,Ship,low,F,1
4,4,2,5,5783,A,Ship,low,M,0
4,4,2,5,4562,C,Ship,medium,F,0
3,1,3,17,2624,C,Ship,low,M,1
3,2,5,5,4880,A,Ship,low,M,0
2,2,6,9,4972,F,Ship,medium,F,1
3,1,3,9,5148,B,Ship,medium,M,1
3,5,2,49,1034,F,Ship,low,F,1
6,5,4,2,1125,D,Ship,low,M,1
5,2,3,63,1675,F,Road,medium,F,1
2,3,4,9,4086,C,Ship,low,F,0
5,1,3,52,3908,D,Ship,high,M,1
3,3,3,7,5185,F,Ship,medium,M,0
7,5,4,8,1148,D,Ship,medium,F,1
3,4,3,6,5912,F,Ship,high,F,0
3,5,2,3,5746,D,Ship,medium,M,1
3,1,3,5,5978,F,Ship,medium,F,0
4,4,3,6,5632,F,Ship,medium,M,0
4,4,7,22,2065,F,Ship,medium,F,1
6,2,5,6,4756,F,Flight,high,M,0
2,2,3,5,5999,B,Ship,low,F,1
6,5,4,10,1969,D,Ship,low,F,1
5,4,2,4,5575,D,Road,low,F,1
3,4,3,22,3546,D,Ship,high,F,1
2,5,3,29,3894,B,Ship,medium,F,1
4,1,2,1,5666,C,Ship,low,M,0
3,1,2,10,4137,F,Ship,low,F,0
3,4,3,7,5336,D,Ship,low,F,1
3,3,3,6,5269,A,Ship,high,F,1
6,1,4,5,1624,C,Road,low,F,0
6,1,4,2,5089,A,Ship,low,M,0
3,1,3,8,4908,D,Ship,low,M,0
5,5,4,6,4547,A,Road,high,F,1
4,1,4,4,4795,B,Ship,low,F,1
3,3,2,5,5577,F,Ship,medium,F,0
5,1,5,4,1557,C,Ship,low,F,1
3,4,2,45,3448,C,Ship,medium,F,1
5,3,4,1,4837,B,Flight,medium,F,1
3,2,3,3,4909,D,Ship,high,F,1
5,2,3,34,1029,C,Flight,high,M,1
2,4,5,5,4874,C,Road,high,M,1
4,1,2,41,1515,C,Road,low,F,1
4,5,5,10,3537,D,Ship,medium,F,1
5,3,5,5,4183,D,Ship,medium,M,0
5,2,4,8,4820,F,Ship,low,F,0
5,1,4,4,1579,C,Flight,low,F,0
4,5,4,1,4082,A,Ship,medium,M,0
3,2,3,7,4915,F,Road,low,F,0
4,5,2,10,4562,F,Ship,medium,F,0
5,5,5,1,1526,A,Ship,low,F,0
5,3,8,5,4149,A,Ship,low,F,1
3,2,4,49,1973,F,Ship,medium,M,1
5,2,5,1,1518,A,Ship,low,M,1
5,4,7,23,1691,C,Flight,medium,F,1
5,4,3,3,4411,A,Ship,low,M,1
3,1,2,62,3398,F,Ship,medium,M,1
4,5,10,6,4385,D,Road,medium,F,0
6,2,6,7,5333,C,Road,medium,M,1
3,1,4,6,5162,D,Ship,medium,F,0
3,1,3,8,1745,A,Ship,medium,F,1
4,3,3,9,4404,C,Ship,low,M,1
6,1,5,5,4362,C,Ship,medium,F,0
4,4,3,7,4463,F,Ship,medium,M,0
4,4,8,2,5481,C,Ship,medium,F,0
4,1,2,6,4454,A,Ship,low,F,1
3,1,2,2,4438,B,Road,low,F,1
6,5,5,2,5611,A,Ship,low,M,1
3,4,3,8,5705,F,Ship,medium,M,1
4,2,4,2,5311,F,Ship,low,M,0
4,4,5,6,1931,F,Ship,low,M,0
4,2,2,4,2212,D,Ship,medium,M,1
4,1,3,40,2225,D,Ship,medium,M,1
3,2,2,45,1446,F,Road,medium,M,1
5,5,3,63,1218,B,Flight,low,M,1
4,4,5,6,4586,A,Flight,medium,F,0
4,5,2,56,1141,F,Road,medium,M,1
4,2,3,7,5977,C,Ship,medium,F,0
5,1,4,2,5416,F,Road,low,F,1
4,5,3,4,5100,B,Ship,low,F,1
3,1,4,7,4780,A,Ship,medium,M,0
3,1,4,9,5136,D,Flight,medium,F,0
6,5,4,3,1463,D,Ship,medium,F,1
4,4,2,7,4873,F,Ship,low,F,1
2,1,6,7,4138,B,Road,medium,F,1
4,3,2,43,3462,F,Ship,high,M,1
6,5,5,1,1188,C,Ship,low,M,0
4,2,2,2,4497,F,Ship,low,M,1
5,1,6,62,1292,A,Ship,medium,M,1
2,2,3,4,4686,B,Ship,low,F,1
6,5,5,1,5376,B,Flight,low,F,0
3,4,3,4,5481,B,Flight,low,F,1
4,5,2,1,4741,F,Ship,low,F,0
3,5,4,4,5330,C,Ship,low,M,0
3,4,4,10,5011,F,Ship,medium,F,0
4,5,5,8,1093,D,Flight,medium,F,1
4,4,3,50,2073,B,Ship,medium,M,1
6,5,4,10,1217,D,Ship,high,F,0
5,5,3,9,4107,D,Ship,medium,F,0
4,1,3,6,5032,F,Ship,low,F,0
5,4,2,44,2419,B,Ship,medium,F,1
3,4,2,10,4706,D,Ship,medium,M,0
6,5,4,4,1013,A,Ship,medium,F,0
4,5,2,15,2381,A,Flight,medium,M,1
4,2,8,8,5623,F,Ship,low,F,0
4,4,4,7,5973,D,Ship,high,F,1
4,4,6,44,2676,A,Ship,medium,M,1
5,4,4,5,5580,C,Road,medium,M,0
3,3,3,1,5502,B,Flight,low,M,0
4,4,3,4,4062,B,Ship,medium,M,0
4,1,5,6,1510,A,Ship,medium,M,1
5,1,2,3,4083,D,Ship,high,M,0
5,4,3,59,3978,D,Flight,medium,M,1
3,1,3,57,1833,F,Ship,low,M,1
5,5,5,2,1436,B,Road,medium,F,1
3,4,3,13,1158,A,Ship,medium,M,1
5,5,2,10,4398,F,Flight,low,F,0
2,1,4,9,5075,C,Ship,medium,F,0
4,5,3,60,1553,D,Flight,low,F,1
6,3,4,9,1823,C,Ship,medium,F,0
4,5,3,1,5088,D,Road,medium,F,0
4,5,2,1,4332,C,Ship,medium,F,0
3,3,3,41,1892,A,Ship,medium,F,1
6,5,4,3,1773,F,Ship,medium,F,1
3,3,3,21,2585,A,Road,medium,M,1
5,1,4,10,5931,B,Road,medium,M,0
7,1,4,10,1508,D,Ship,low,M,1
4,5,3,22,1907,A,Ship,high,M,1
4,3,3,3,4837,D,Road,medium,F,1
3,1,3,1,4889,C,Ship,medium,M,1
2,3,2,6,1730,D,Ship,medium,F,1
4,1,2,2,5825,F,Road,low,F,0
4,2,5,8,1878,A,Flight,low,F,0
3,2,3,5,5941,C,Ship,low,F,0
3,3,3,55,1534,A,Road,low,F,1
4,2,2,1,4533,D,Ship,low,F,0
3,3,3,10,4186,F,Ship,medium,F,0
4,2,2,9,4360,B,Road,medium,F,0
4,4,3,7,5351,F,Ship,low,F,1
4,5,3,21,3984,F,Ship,medium,F,1
2,2,2,7,4075,F,Ship,medium,M,0
6,1,4,4,1236,A,Ship,low,F,1
4,2,2,49,3416,D,Flight,low,M,1
3,4,3,11,1861,A,Flight,low,F,1
5,3,2,6,5863,F,Ship,low,F,1
3,1,4,7,4833,C,Road,high,M,1
4,5,2,4,4069,D,Ship,high,M,1
3,3,3,5,5831,B,Ship,medium,F,0
3,1,4,5,4700,F,Ship,low,M,0
3,2,3,2,2176,C,Ship,medium,F,1
4,4,2,27,2824,B,Ship,medium,M,1
4,1,5,5,1238,B,Ship,low,F,0
5,3,6,3,1960,B,Ship,medium,F,1
3,5,3,37,1266,F,Flight,low,F,1
4,3,3,4,4399,C,Flight,low,M,1
5,1,5,8,1815,B,Ship,low,F,0
4,1,4,10,1343,D,Ship,medium,F,1
3,3,2,9,4903,F,Ship,low,F,0
5,5,4,8,4604,C,Ship,medium,M,1
6,3,4,2,1954,C,Ship,medium,M,0
3,2,2,37,1699,A,Flight,medium,M,1
4,4,2,4,4104,D,Ship,low,M,1
6,1,5,5,1298,A,Ship,low,F,0
3,3,3,4,5086,A,Ship,low,F,1
3,1,4,33,3561,D,Flight,low,M,1
3,2,3,59,1307,C,Ship,high,F,1
3,2,3,10,5803,F,Ship,medium,M,0
4,5,2,10,5764,F,Ship,low,M,0
3,4,8,1,2703,D,Ship,low,M,1
3,3,3,8,1074,F,Ship,low,M,1
3,5,3,4,5629,A,Flight,low,F,0
4,2,5,2,1876,B,Flight,low,F,0
3,5,3,2,3459,F,Ship,low,F,1
5,2,2,3,4928,F,Ship,high,F,0
4,1,2,3,4271,B,Flight,low,M,0
4,3,3,2,5432,B,Ship,medium,M,1
4,1,4,1,4857,D,Ship,low,M,0
4,1,2,9,4799,B,Flight,low,M,1
3,4,5,9,5759,A,Road,medium,M,0
3,1,2,7,5653,F,Ship,low,F,0
5,5,5,7,1875,C,Ship,low,M,1
4,3,2,2,5607,A,Flight,low,M,0
4,2,3,12,2273,C,Ship,low,F,1
4,5,3,13,2409,A,Ship,low,F,1
5,2,3,1,5834,F,Flight,high,M,0
7,1,4,5,1865,C,Ship,low,F,1
5,4,2,6,4801,F,Ship,medium,F,1
5,1,5,4,1348,C,Ship,low,M,1
3,2,2,7,4150,F,Ship,medium,F,0
6,2,2,40,1014,C,Flight,low,M,1
3,3,4,7,4542,F,Ship,medium,F,1
4,2,5,9,5178,B,Ship,medium,M,1
5,5,3,5,4122,F,Ship,low,M,0
4,2,10,29,2949,C,Ship,medium,F,1
4,4,2,2,5725,B,Ship,medium,M,1
3,4,4,4,5031,A,Ship,low,F,0
5,2,3,50,3992,C,Ship,medium,F,1
6,2,4,6,1864,F,Ship,medium,F,0
5,4,4,56,3709,F,Ship,medium,M,1
5,5,3,10,5554,A,Ship,low,F,1
3,5,4,3,4212,A,Road,low,F,1
4,4,3,41,1104,F,Ship,medium,M,1
3,3,2,54,2427,C,Ship,medium,F,1
3,2,2,24,2748,A,Ship,low,F,1
2,5,2,57,3807,F,Flight,medium,F,1
6,4,4,9,4005,D,Ship,medium,F,1
3,2,3,2,4804,D,Flight,medium,M,0
4,4,7,65,1530,B,Ship,medium,M,1
2,4,3,47,1547,B,Flight,medium,M,1
4,4,2,1,4117,F,Ship,high,F,1
6,2,4,56,1511,C,Flight,low,M,1
4,4,4,2,5908,D,Ship,low,M,1
5,4,3,52,3403,B,Ship,low,M,1
6,1,4,3,1361,A,Ship,low,M,1
3,2,6,7,1674,F,Flight,low,F,1
3,4,2,8,4883,A,Ship,medium,M,0
5,4,5,2,1847,A,Ship,low,M,1
3,1,6,1,1293,A,Ship,low,M,0
6,1,4,3,1448,F,Flight,low,F,1
4,2,10,9,4280,C,Ship,high,F,1
4,3,2,32,2912,C,Ship,low,F,1
2,1,3,11,2534,C,Ship,low,M,1
5,4,5,2,1664,F,Road,medium,F,1
4,1,2,9,4299,C,Ship,low,F,0
5,4,2,4,4053,F,Ship,medium,M,0
4,4,5,36,3912,C,Road,low,M,1
4,5,4,6,4213,D,Ship,low,F,0
3,4,3,23,2100,F,Ship,medium,F,1
4,2,2,11,3985,C,Ship,low,M,1
4,1,4,3,1667,A,Ship,low,F,0
3,3,3,2,5860,D,Ship,medium,M,0
5,4,4,4,5757,C,Ship,high,F,1
3,4,3,55,1281,D,Ship,low,F,1
5,3,3,6,4632,B,Flight,low,F,0
4,4,3,6,1900,F,Ship,low,M,1
4,3,3,2,5198,D,Ship,low,F,1
6,4,4,1,1883,F,Road,low,F,0
4,5,2,1,5300,F,Road,low,F,1
6,3,4,6,1622,C,Flight,medium,F,1
5,5,5,6,1068,B,Ship,low,M,1
4,1,2,7,4403,A,Flight,low,M,1
4,5,3,5,5216,C,Ship,medium,F,0
3,1,2,8,4594,C,Ship,low,F,1
6,1,4,5,1747,F,Ship,medium,M,0
4,5,4,7,5988,F,Ship,medium,M,1
5,2,4,8,5650,A,Ship,low,M,1
2,3,8,61,1240,D,Road,low,M,1
5,3,2,4,5014,C,Ship,low,F,0
3,5,4,5,1104,A,Ship,medium,M,1
2,3,3,24,3829,C,Ship,high,F,1
3,5,2,10,4445,D,Ship,low,F,0
6,4,4,10,5088,D,Flight,low,F,0
3,2,2,1,4132,D,Flight,medium,F,1
3,4,3,8,5792,C,Ship,medium,M,0
5,1,2,2,4987,B,Road,low,F,1
2,5,3,1,4377,A,Ship,medium,F,0
2,5,2,8,5499,F,Road,medium,F,0
3,3,3,1,5168,C,Ship,low,F,0
6,4,5,10,1435,F,Ship,medium,F,0
4,1,2,4,4369,F,Ship,low,M,0
3,1,3,3,5839,D,Ship,low,F,1
2,2,2,14,3751,D,Ship,medium,F,1
3,5,2,6,4744,F,Ship,medium,M,0
5,2,2,2,4712,C,Ship,medium,F,1
4,2,3,5,4946,B,Ship,medium,M,1
3,3,2,7,5719,C,Road,medium,M,1
5,2,3,62,3352,D,Ship,low,M,1
4,4,3,5,4624,F,Flight,low,M,0
2,4,2,60,1787,B,Ship,high,M,1
5,5,5,10,1289,B,Ship,low,M,1
3,2,4,7,5254,B,Ship,low,F,0
3,3,3,7,4690,F,Ship,high,F,1
5,5,3,37,2197,F,Road,medium,F,1
3,3,2,5,4205,B,Flight,medium,F,1
4,5,3,1,5898,C,Ship,low,F,1
7,5,4,1,1601,C,Ship,low,F,0
3,5,2,1,4881,C,Flight,medium,M,1
4,1,2,1,5001,F,Ship,low,F,1
2,1,5,4,5759,F,Ship,low,M,0
3,4,3,10,4839,F,Ship,low,M,0
4,1,3,4,4283,D,Flight,medium,M,0
4,1,3,9,5216,F,Flight,medium,F,1
5,5,2,4,4289,C,Ship,medium,M,0
6,2,4,2,4431,F,Ship,medium,F,0
5,2,5,10,4790,C,Ship,medium,F,0
3,1,2,7,4684,C,Ship,low,F,0
5,2,2,10,5696,C,Road,low,M,0
2,3,3,1,5137,F,Ship,low,M,0
2,3,4,10,4363,C,Ship,medium,M,0
3,2,3,2,5502,F,Flight,high,M,0
6,1,4,10,2030,C,Ship,low,F,1
4,2,3,3,4562,A,Ship,medium,M,1
3,1,3,10,3606,B,Ship,medium,F,1
2,1,4,2,4747,D,Flight,low,F,0
6,4,4,3,1182,D,Ship,low,F,0
3,1,3,7,5178,B,Ship,high,F,0
5,2,4,9,5804,B,Ship,medium,F,0
3,1,2,2,4647,B,Flight,low,M,1
5,4,4,4,4498,B,Ship,low,F,1
3,2,3,7,4468,D,Ship,low,F,0
6,3,4,6,1433,D,Ship,medium,F,0
6,2,4,1,1258,C,Ship,low,F,1
5,5,5,1,5299,C,Flight,low,F,1
4,1,6,1,5525,C,Ship,low,M,1
3,2,3,45,3786,D,Flight,medium,M,1
5,5,5,3,1933,B,Ship,low,M,1
3,1,2,19,1183,D,Ship,medium,F,1
4,4,3,6,5783,D,Road,low,F,0
3,1,3,7,4760,A,Ship,low,F,0
4,2,2,43,1976,D,Flight,medium,F,1
4,5,4,37,2128,F,Ship,medium,M,1
3,4,3,7,4536,A,Road,medium,M,0
7,3,4,10,1629,F,Ship,medium,M,0
2,2,3,10,4324,B,Ship,medium,F,1
3,4,3,39,3792,D,Ship,medium,M,1
4,2,3,48,2953,F,Ship,medium,F,1
4,2,3,4,5578,C,Ship,low,F,1
3,4,3,2,5712,C,Ship,low,M,1
5,3,2,7,5248,D,Ship,low,F,1
5,1,2,52,1012,A,Ship,low,M,1
3,1,7,6,4166,B,Flight,medium,F,0
3,2,2,2,4214,B,Road,low,M,1
3,3,2,3,2894,D,Road,medium,M,1
3,3,3,46,2460,F,Ship,low,M,1
4,1,3,8,4915,C,Ship,medium,M,0
6,1,2,4,4016,F,Road,medium,M,0
3,4,3,7,4636,D,Flight,medium,M,0
5,3,2,51,1429,F,Flight,medium,M,1
3,2,4,4,5510,C,Ship,medium,M,0
3,1,2,6,4445,A,Ship,low,M,0
3,5,3,7,4135,F,Ship,low,F,0
3,4,2,29,1016,C,Ship,low,M,1
4,1,2,4,4122,D,Road,medium,M,0
5,2,3,1,4799,C,Ship,low,M,1
5,3,2,8,5290,B,Flight,low,M,1
4,1,7,4,5761,B,Ship,medium,F,1
4,5,3,7,4410,F,Ship,low,F,0
5,1,3,40,2668,A,Ship,low,M,1
7,2,4,6,1550,D,Ship,low,F,1
4,1,5,4,1145,B,Ship,low,F,0
4,5,5,3,1572,B,Road,low,F,1
4,1,2,3,4165,A,Flight,low,F,0
3,1,3,10,4707,F,Flight,low,F,1
7,1,4,2,1983,F,Ship,low,M,0
4,2,2,8,4921,B,Ship,low,F,0
6,2,4,2,1665,A,Flight,high,M,1
5,3,2,5,4713,A,Flight,low,M,0
2,4,2,10,5389,A,Ship,medium,F,0
2,2,3,4,5485,D,Ship,medium,F,1
4,3,3,5,5225,A,Road,low,M,1
4,4,3,64,1847,F,Flight,medium,F,1
4,3,2,8,5513,F,Ship,low,M,0
6,4,4,5,1174,C,Road,medium,M,0
3,1,2,10,5178,C,Flight,medium,M,1
5,5,3,53,3089,B,Ship,medium,F,1
4,4,4,2,4503,F,Ship,medium,F,1
6,4,4,2,1326,F,Flight,low,F,0
6,4,4,3,1852,D,Ship,medium,M,0
5,2,3,4,4552,A,Ship,low,F,0
6,4,4,5,1989,D,Flight,medium,F,0
4,3,2,7,4185,D,Ship,medium,F,0
5,1,3,25,3494,C,Ship,low,M,1
3,5,4,10,5699,B,Ship,low,F,1
3,2,2,7,1693,B,Ship,medium,M,0
2,1,3,46,3206,B,Ship,high,M,1
4,2,5,4,1783,D,Ship,medium,F,0
6,3,4,5,1750,C,Ship,low,M,1
2,3,4,17,3555,C,Flight,low,M,1
3,4,3,47,1511,F,Ship,medium,M,1
5,5,5,9,1624,B,Road,low,F,0
3,4,3,60,2240,B,Ship,medium,F,1
3,2,3,39,2099,F,Ship,medium,M,1
3,5,3,7,5685,C,Road,low,F,0
5,3,3,7,5510,A,Road,medium,F,1
4,1,3,2,4353,B,Flight,low,M,1
4,5,6,46,1882,D,Ship,medium,M,1
3,2,4,8,5511,D,Ship,low,F,0
4,1,4,5,5080,A,Ship,medium,M,0
2,2,4,6,4104,C,Ship,medium,M,1
6,3,8,12,1371,C,Ship,high,F,1
4,1,3,2,4418,C,Road,low,M,0
3,5,2,5,1023,D,Ship,medium,M,0
4,1,2,5,1274,F,Flight,low,F,1
5,1,3,3,5839,C,Ship,medium,M,0
4,2,2,9,4307,A,Ship,medium,M,0
3,1,5,2,4956,B,Ship,medium,M,1
4,5,3,2,5378,F,Ship,medium,F,0
5,1,4,3,4607,A,Ship,medium,F,0
4,5,3,3,5142,B,Ship,medium,F,1
5,4,4,10,4528,A,Ship,low,F,0
3,3,3,10,5275,C,Ship,medium,F,1
5,2,3,34,1020,C,Ship,high,F,1
7,3,4,8,1909,A,Ship,low,F,1
4,1,2,5,4688,A,Ship,low,M,0
4,4,2,3,4817,F,Road,low,F,0
5,3,4,4,1111,D,Ship,medium,F,1
3,5,4,3,5051,B,Ship,low,F,0
3,3,3,10,4387,F,Ship,medium,F,0
3,4,2,4,4681,F,Flight,low,M,0
4,2,3,1,4064,C,Flight,medium,F,1
3,1,3,51,3551,F,Ship,low,F,1
3,2,2,28,2822,D,Ship,medium,F,1
3,3,8,7,5257,D,Flight,high,M,1
4,1,2,60,3080,B,Ship,high,M,1
3,4,5,4,4243,F,Road,medium,F,1
3,5,3,6,4295,D,Ship,low,M,1
5,3,2,8,4006,F,Ship,medium,M,0
5,5,2,8,5066,D,Road,high,M,1
5,2,5,6,1310,F,Road,medium,F,1
3,2,4,3,4423,C,Ship,high,F,0
4,1,3,6,4558,F,Flight,medium,M,0
3,5,2,3,5039,F,Ship,low,M,0
3,1,2,2,3949,B,Ship,high,M,1
2,1,5,29,1648,F,Road,medium,M,1
5,1,4,62,1137,F,Road,low,M,1
3,5,3,10,4861,F,Road,low,M,0
4,4,2,1,5211,C,Ship,medium,F,0
3,2,3,47,1639,D,Flight,medium,M,1
4,1,3,23,3775,B,Ship,low,F,1
3,3,5,12,1972,F,Ship,low,F,1
5,1,4,4,1551,B,Road,low,M,0
6,4,4,10,1568,F,Ship,low,F,1
3,4,3,4,1548,F,Flight,medium,M,1
3,2,4,10,5720,A,Ship,medium,M,0
5,3,7,17,3516,D,Ship,medium,F,1
4,4,4,50,2020,D,Road,low,M,1
5,2,3,4,4271,B,Ship,low,F,0
4,5,4,6,4983,A,Ship,low,F,0
3,4,3,2,5389,D,Ship,medium,M,0
6,4,6,1,4625,F,Ship,medium,M,1
7,1,4,2,1566,C,Road,low,F,0
4,1,3,9,4239,B,Road,low,M,0
4,2,3,5,5174,F,Ship,low,F,0
5,3,3,48,3393,D,Flight,low,M,1
4,5,3,31,1170,A,Road,low,F,1
6,2,4,7,1046,D,Ship,low,F,0
4,5,4,1,5585,A,Ship,medium,M,1
5,4,3,39,3989,C,Ship,low,F,1
3,4,2,1,4067,A,Ship,low,M,1
3,1,4,20,1940,A,Ship,low,F,1
3,3,3,65,1614,F,Flight,medium,F,1
3,4,4,44,1004,A,Ship,low,F,1
3,2,2,10,4035,B,Flight,medium,M,0
2,1,2,6,5250,C,Ship,medium,F,0
3,3,3,7,4968,B,Ship,medium,M,0
5,2,4,9,4028,C,Ship,medium,F,0
4,1,5,9,1817,A,Road,low,F,0
3,4,3,7,4531,D,Ship,medium,M,0
5,2,4,9,1224,A,Ship,low,F,1
3,5,4,1,4971,C,Ship,high,F,1
3,1,4,6,5398,C,Ship,medium,F,0
4,1,2,4,5164,C,Flight,medium,F,0
4,4,2,4,4337,F,Road,low,F,1
4,4,3,2,5429,D,Ship,medium,M,0
2,1,3,1,5929,A,Ship,medium,F,0
4,3,6,10,1962,F,Ship,medium,F,1
3,3,5,10,4258,D,Ship,low,F,0
5,4,3,44,1811,F,Ship,medium,F,1
4,4,3,2,5413,C,Road,medium,F,1
4,5,3,1,5013,B,Ship,low,M,0
5,3,2,60,1830,F,Flight,medium,F,1
4,2,5,3,1092,F,Ship,medium,F,0
3,5,5,31,3737,A,Ship,low,M,1
4,2,3,3,5112,F,Road,high,M,0
4,5,5,3,4191,A,Flight,medium,F,1
3,5,3,1,5073,B,Ship,low,M,0
5,4,3,5,5137,F,Ship,low,F,0
5,3,3,35,3884,F,Ship,medium,M,1
3,2,2,9,4532,C,Road,low,F,1
5,1,4,1,4042,B,Ship,high,F,0
4,2,3,30,3423,B,Flight,low,M,1
5,3,3,4,2207,B,Ship,medium,M,1
4,2,5,1,1353,D,Road,low,M,1
3,3,3,9,5895,F,Flight,low,M,1
5,5,4,7,4064,C,Ship,low,M,1
4,1,3,10,4454,F,Ship,low,M,0
5,4,2,46,1482,F,Road,high,M,1
4,4,3,6,5508,A,Ship,medium,M,0
3,3,4,36,3276,F,Road,low,F,1
5,5,3,3,4263,F,Flight,low,M,0
5,5,2,33,3202,B,Flight,high,M,1
6,3,6,2,4281,B,Ship,medium,F,0
4,4,4,7,4953,B,Ship,medium,M,1
3,5,7,8,4091,A,Flight,medium,M,1
3,3,4,3,4316,F,Ship,low,F,0
6,4,4,10,1199,D,Ship,low,F,1
4,3,3,1,5881,D,Ship,low,M,0
6,1,4,5,1588,D,Ship,low,M,0
2,2,3,5,5875,C,Ship,low,M,0
3,1,2,47,1241,F,Ship,low,M,1
4,2,4,1,1063,F,Ship,low,M,1
5,1,3,24,2957,D,Flight,medium,M,1
3,5,2,8,5848,F,Ship,medium,F,0
3,5,3,4,5423,F,Ship,low,M,0
4,2,10,5,5470,F,Road,medium,F,0
3,1,2,41,3787,B,Ship,low,F,1
4,1,2,9,4359,F,Road,medium,M,0
2,4,2,54,1707,F,Ship,medium,M,1
3,2,2,16,1685,F,Ship,low,F,1
5,1,3,37,1228,B,Road,low,F,1
6,2,5,6,1118,C,Road,medium,F,0
5,2,3,47,1023,B,Road,medium,M,1
2,4,3,58,2586,C,Ship,low,F,1
6,2,3,30,3462,A,Ship,medium,M,1
4,1,2,32,3066,F,Flight,low,M,1
5,3,4,65,3407,F,Ship,high,M,1
5,2,2,6,4236,D,Road,low,M,0
2,5,3,21,1113,F,Ship,low,F,1
3,4,4,20,2534,C,Flight,low,M,1
4,5,4,5,5735,A,Road,medium,M,1
5,3,5,7,1090,F,Ship,low,M,0
5,1,5,3,1062,F,Ship,low,F,0
4,3,2,1,5826,C,Flight,medium,F,0
3,2,5,6,4372,F,Ship,low,F,1
3,1,2,4,5806,A,Road,medium,M,1
2,4,3,8,4898,F,Road,medium,M,0
4,3,3,3,5253,F,Ship,low,F,0
5,5,2,3,4741,F,Ship,high,F,1
4,1,3,53,3423,F,Ship,medium,F,1
3,5,7,9,5525,C,Ship,medium,F,1
4,4,3,52,2740,D,Road,medium,F,1
5,4,2,9,5208,D,Ship,low,F,0
4,1,3,27,1551,C,Ship,medium,M,1
6,1,4,5,1228,F,Ship,low,F,0
4,5,3,31,1365,B,Ship,high,F,1
4,4,4,63,1293,F,Ship,high,F,1
4,5,2,1,5836,F,Flight,low,M,0
6,1,4,10,1290,F,Flight,medium,M,1
4,5,3,2,5206,C,Ship,low,F,0
5,1,2,9,4881,A,Road,medium,M,0
5,5,2,9,4669,B,Ship,low,M,1
2,2,3,6,5854,F,Road,low,F,1
6,4,4,4,1451,F,Ship,low,F,0
4,5,2,9,5453,A,Ship,low,F,0
4,3,3,27,1207,F,Ship,medium,F,1
2,2,4,48,3374,A,Flight,low,M,1
5,1,5,6,1815,F,Road,low,F,0
4,3,2,10,5554,F,Ship,low,M,0
4,5,4,2,4947,F,Ship,medium,F,0
4,4,6,5,1708,F,Ship,low,M,1
3,2,3,10,1641,B,Ship,low,M,1
4,4,6,6,4100,F,Ship,low,F,1
7,5,4,1,1477,D,Road,medium,M,1
5,3,4,7,1298,D,Road,low,M,1
3,2,2,53,1319,F,Flight,low,M,1
3,3,2,4,4206,B,Ship,medium,F,0
4,2,2,27,3393,F,Ship,high,M,1
2,3,3,9,1471,A,Ship,low,M,1
5,1,2,54,1190,F,Ship,high,M,1
3,3,3,7,4954,F,Ship,low,F,1
4,3,4,49,3697,F,Ship,medium,M,1
5,4,2,9,5517,A,Ship,low,F,0
3,2,3,4,1337,A,Ship,low,M,1
4,1,10,35,3819,A,Ship,low,F,1
6,2,3,7,4371,F,Ship,low,M,1
6,3,4,5,1215,D,Ship,low,M,1
3,5,2,27,3840,A,Ship,low,M,1
